country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Armenia,ARM,Asia,Western Asia,1992,EFConsPerCap,0.390922543,0.189137286,1.25E-06,0.004137644,0.033668531,1.1122251,1.730092359,949.033,3449000
Armenia,ARM,Asia,Western Asia,1992,EFConsTotGHA,1348487.313,652429.0666,4.327840599,14272.80369,116139.5982,3836620.482,5967953.592,949.033,3449000
Armenia,ARM,Asia,Western Asia,1993,EFConsPerCap,0.386610926,0.200749255,1.07E-05,0.003815861,0.031967594,0.535276774,1.158431104,886.033,3370000
Armenia,ARM,Asia,Western Asia,1993,EFConsTotGHA,1302751.21,676458.7257,36.03408258,12858.19116,107720.2388,1803706.047,3903530.447,886.033,3370000
Armenia,ARM,Asia,Western Asia,1994,EFConsPerCap,0.445494673,0.317447695,2.34E-05,0.003765935,0.031475501,0.317669342,1.115876509,956.471,3290000
Armenia,ARM,Asia,Western Asia,1994,EFConsTotGHA,1465650.72,1044383.852,76.86136159,12389.70089,103552.507,1045113.056,3671166.697,956.471,3290000
Armenia,ARM,Asia,Western Asia,1995,EFConsPerCap,0.380362092,0.196215233,1.69E-05,0.003926228,0.03149735,0.416180121,1.028197898,1043.54,3223000
Armenia,ARM,Asia,Western Asia,1995,EFConsTotGHA,1225971.655,632435.0375,54.38584746,12654.89894,101521.3116,1341419.248,3314056.537,1043.54,3223000
Armenia,ARM,Asia,Western Asia,1996,EFConsPerCap,0.441647711,0.22320462,2.23E-05,0.003030021,0.035410073,0.334685694,1.038000374,1121.88,3173000
Armenia,ARM,Asia,Western Asia,1996,EFConsTotGHA,1401538.065,708324.2224,70.6233421,9615.560349,112371.3847,1062101.6,3294021.456,1121.88,3173000
Armenia,ARM,Asia,Western Asia,1997,EFConsPerCap,0.399043555,0.258338482,0.009432441,0.003456905,0.028456344,0.409646065,1.108373793,1172.14,3138000
Armenia,ARM,Asia,Western Asia,1997,EFConsTotGHA,1252058.972,810575.7136,29595.69613,10846.55892,89286.04608,1285325.937,3477688.924,1172.14,3138000
Armenia,ARM,Asia,Western Asia,1998,EFConsPerCap,0.463829422,0.214603413,0.002063653,0.00477332,0.03584213,0.432528699,1.153640637,1267.58,3113000
Armenia,ARM,Asia,Western Asia,1998,EFConsTotGHA,1443882.421,668051.832,6424.069023,14859.15282,111575.1151,1346444.523,3591237.113,1267.58,3113000
Armenia,ARM,Asia,Western Asia,1999,EFConsPerCap,0.38190109,0.200030293,0.002304861,0.006620833,0.034719609,0.520854495,1.146431181,1317.74,3094000
Armenia,ARM,Asia,Western Asia,1999,EFConsTotGHA,1181533.256,618857.7347,7130.826522,20483.66495,107416.2226,1611430.089,3546851.794,1317.74,3094000
Armenia,ARM,Asia,Western Asia,2000,EFConsPerCap,0.409554237,0.199877197,0.014419794,0.008784789,0.029599216,0.482025,1.144260233,1404.32,3076000
Armenia,ARM,Asia,Western Asia,2000,EFConsTotGHA,1259829.829,614842.2641,44356.72972,27022.89105,91050.15164,1482757.15,3519859.015,1404.32,3076000
Armenia,ARM,Asia,Western Asia,2001,EFConsPerCap,0.43405175,0.201980175,0.038790499,0.008355824,0.03889309,0.501806613,1.223877952,1548.08,3060000
Armenia,ARM,Asia,Western Asia,2001,EFConsTotGHA,1328215.733,618067.4233,118700.4807,25569.15737,119014.4138,1535548.327,3745115.535,1548.08,3060000
Armenia,ARM,Asia,Western Asia,2002,EFConsPerCap,0.471507055,0.214577375,0.021938167,0.009802813,0.041543374,0.475678541,1.235047325,1761.89,3047000
Armenia,ARM,Asia,Western Asia,2002,EFConsTotGHA,1436799.874,653870.906,66851.07976,29871.62072,126593.0449,1449511.435,3763497.96,1761.89,3047000
Armenia,ARM,Asia,Western Asia,2003,EFConsPerCap,0.430759694,0.228879767,0.027013976,0.008389843,0.036644675,0.535628171,1.267316127,2019.98,3036000
Armenia,ARM,Asia,Western Asia,2003,EFConsTotGHA,1307967.318,694975.0832,82025.77633,25475.08768,111268.6207,1626392.048,3848103.934,2019.98,3036000
Armenia,ARM,Asia,Western Asia,2004,EFConsPerCap,0.531148633,0.238852269,0.03802096,0.010814474,0.046950438,0.57744377,1.443230544,2244.22,3026000
Armenia,ARM,Asia,Western Asia,2004,EFConsTotGHA,1607245.13,722762.1857,115050.6652,32724.38199,142071.0843,1747333.287,4367186.735,2244.22,3026000
Armenia,ARM,Asia,Western Asia,2005,EFConsPerCap,0.554170274,0.234447956,0.03517514,0.022381008,0.052656507,0.683763506,1.582594391,2571.99,3015000
Armenia,ARM,Asia,Western Asia,2005,EFConsTotGHA,1670779,706841.8118,106050.2295,67476.94782,158755.1518,2061492.216,4771395.357,2571.99,3015000
Armenia,ARM,Asia,Western Asia,2006,EFConsPerCap,0.477711752,0.256010559,0.058633273,0.011325138,0.040030823,0.743040136,1.586751681,2933.83,3002000
Armenia,ARM,Asia,Western Asia,2006,EFConsTotGHA,1434167.071,768584.6374,176026.4606,33999.87629,120178.933,2230725.309,4763682.287,2933.83,3002000
Armenia,ARM,Asia,Western Asia,2007,EFConsPerCap,0.68046265,0.216165285,0.058757473,0.010561444,0.055972442,0.865227578,1.887146871,3366.16,2988000
Armenia,ARM,Asia,Western Asia,2007,EFConsTotGHA,2033304.134,645927.8365,175574.3864,31558.86254,167252.3793,2585403.931,5639021.53,3366.16,2988000
Armenia,ARM,Asia,Western Asia,2008,EFConsPerCap,0.621013579,0.289642379,0.264267073,0.01292526,0.054142045,0.997572376,2.239562712,3629.16,2975000
Armenia,ARM,Asia,Western Asia,2008,EFConsTotGHA,1847534.046,861694.7742,786202.4785,38453.03561,161074.2091,2967807.776,6662766.319,3629.16,2975000
Armenia,ARM,Asia,Western Asia,2009,EFConsPerCap,0.599975451,0.23874076,0.250653206,0.011267658,0.052282691,0.786918537,1.939838303,3136.81,2966000
Armenia,ARM,Asia,Western Asia,2009,EFConsTotGHA,1779593.25,708131.3823,743465.0071,33421.11296,155076.217,2334087.028,5753773.996,3136.81,2966000
Armenia,ARM,Asia,Western Asia,2010,EFConsPerCap,0.533420206,0.215279936,0.284982148,0.007496761,0.040366451,0.783614389,1.86515989,3218.38,2963000
Armenia,ARM,Asia,Western Asia,2010,EFConsTotGHA,1580790.779,637982.0898,844544.5948,22216.65255,119625.9766,2322241.24,5527401.334,3218.38,2963000
Armenia,ARM,Asia,Western Asia,2011,EFConsPerCap,0.601109301,0.229570489,0.34194972,0.008260104,0.050586433,0.830742567,2.062218613,3371.67,2968000
Armenia,ARM,Asia,Western Asia,2011,EFConsTotGHA,1784080.37,681360.614,1014899.923,24515.82246,150139.5202,2465627.308,6120623.558,3371.67,2968000
Armenia,ARM,Asia,Western Asia,2012,EFConsPerCap,0.647166416,0.220966727,0.335534322,0.007005634,0.05525592,0.873454158,2.139383176,3606.48,2978000
Armenia,ARM,Asia,Western Asia,2012,EFConsTotGHA,1927481.681,658114.0598,999335.3216,20865.16028,164570.9217,2601443.533,6371810.678,3606.48,2978000
Armenia,ARM,Asia,Western Asia,2013,EFConsPerCap,0.62311962,0.218954651,0.261145964,0.004973808,0.061102036,0.863901974,2.033198052,3710.58,2992000
Armenia,ARM,Asia,Western Asia,2013,EFConsTotGHA,1864492.26,655153.9037,781398.3254,14882.57853,182828.8972,2584958.796,6083714.761,3710.58,2992000
Armenia,ARM,Asia,Western Asia,2014,EFConsPerCap,0.621757962,0.224414498,0.2526928,0.00646562,0.061555927,0.851708106,2.018594914,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,EFConsTotGHA,1869097.638,674623.6214,759632.4346,19436.62404,185046.3447,2560362.241,6068198.904,3827.34,3006000
Afghanistan,AFG,Asia,Southern Asia,1961,EFConsPerCap,0.538863557,0.528165896,0.086077455,5.30E-05,0.029706825,0.028572194,1.211438883,,9165000
Afghanistan,AFG,Asia,Southern Asia,1961,EFConsTotGHA,4938657.659,4840614.131,788895.5904,485.3464137,272261.5698,261862.7347,11102777.03,,9165000
Afghanistan,AFG,Asia,Southern Asia,1962,EFConsPerCap,0.506361355,0.505987136,0.085548167,5.18E-05,0.02846462,0.035767306,1.162180403,,9344000
Afghanistan,AFG,Asia,Southern Asia,1962,EFConsTotGHA,4731323.803,4727827.183,799342.3526,484.1891056,265966.8529,334201.4628,10859145.84,,9344000
Afghanistan,AFG,Asia,Southern Asia,1963,EFConsPerCap,0.474957831,0.565607544,0.086820098,5.06E-05,0.026682995,0.039420884,1.193539983,,9532000
Afghanistan,AFG,Asia,Southern Asia,1963,EFConsTotGHA,4527084.222,5391116.476,827530.0844,482.5959179,254330.2932,375742.1206,11376285.79,,9532000
Afghanistan,AFG,Asia,Southern Asia,1964,EFConsPerCap,0.49612009,0.555278068,0.094000228,4.95E-05,0.027962402,0.046260254,1.219670528,,9729000
Afghanistan,AFG,Asia,Southern Asia,1964,EFConsTotGHA,4826573.573,5402100.228,914494.3464,481.4320118,272036.1347,450049.3452,11865735.06,,9729000
Afghanistan,AFG,Asia,Southern Asia,1965,EFConsPerCap,0.507028658,0.572907834,0.096532501,4.83E-05,0.029013169,0.051332549,1.256863005,,9935000
Afghanistan,AFG,Asia,Southern Asia,1965,EFConsTotGHA,5037512.429,5692045.781,959085.187,479.8098302,288256.2857,510007.3765,12487386.87,,9935000
Afghanistan,AFG,Asia,Southern Asia,1966,EFConsPerCap,0.45646908,0.550437273,0.101400405,4.73E-05,0.026466432,0.05416663,1.188987083,,10149000
Afghanistan,AFG,Asia,Southern Asia,1966,EFConsTotGHA,4632613.314,5586277.686,1029092.406,479.6620805,268602.5243,549726.2851,12066791.88,,10149000
Afghanistan,AFG,Asia,Southern Asia,1967,EFConsPerCap,0.499055557,0.539849771,0.101792536,6.15E-05,0.028886495,0.057957048,1.22760287,,10369000
Afghanistan,AFG,Asia,Southern Asia,1967,EFConsTotGHA,5174507.254,5597486.126,1055446.053,637.2800139,299512.5043,600933.4255,12728522.64,,10369000
Afghanistan,AFG,Asia,Southern Asia,1968,EFConsPerCap,0.484493309,0.541131259,0.104349401,6.00E-05,0.02909442,0.056231901,1.215360299,,10600000
Afghanistan,AFG,Asia,Southern Asia,1968,EFConsTotGHA,5135532.078,5735883.015,1106082.756,636.0928233,308395.0313,596046.8902,12882575.86,,10600000
Afghanistan,AFG,Asia,Southern Asia,1969,EFConsPerCap,0.506946772,0.511673775,0.107755528,5.82E-05,0.030944542,0.050339766,1.207718606,,10850000
Afghanistan,AFG,Asia,Southern Asia,1969,EFConsTotGHA,5500119.006,5551404.622,1169093.6,631.6900562,335732.8109,546161.2859,13103143.01,,10850000
Afghanistan,AFG,Asia,Southern Asia,1970,EFConsPerCap,0.43602394,0.506157592,0.110574644,5.69E-05,0.027172272,0.074301511,1.15428687,,11121000
Afghanistan,AFG,Asia,Southern Asia,1970,EFConsTotGHA,4849065.664,5629029.001,1229711.635,632.9152572,302185.5415,826314.5054,12836939.26,,11121000
Afghanistan,AFG,Asia,Southern Asia,1971,EFConsPerCap,0.421176103,0.486341413,0.111392122,6.92E-05,0.024430547,0.083785138,1.127194507,,11413000
Afghanistan,AFG,Asia,Southern Asia,1971,EFConsTotGHA,4806798.549,5550517.185,1271295.983,789.5784009,278820.9476,956223.0017,12864445.24,,11413000
Afghanistan,AFG,Asia,Southern Asia,1972,EFConsPerCap,0.449747073,0.374549303,0.118391311,6.76E-05,0.029228138,0.061971704,1.033955166,,11717000
Afghanistan,AFG,Asia,Southern Asia,1972,EFConsTotGHA,5269641.659,4388556.878,1387179.203,792.4840839,342463.185,726116.2809,12114749.69,,11717000
Afghanistan,AFG,Asia,Southern Asia,1973,EFConsPerCap,0.452969873,0.37668171,0.118148732,6.56E-05,0.031458546,0.062403292,1.041727734,,12023000
Afghanistan,AFG,Asia,Southern Asia,1973,EFConsTotGHA,5445830.303,4528655.862,1420443.128,788.4463425,378210.3641,750243.5819,12524171.69,,12023000
Afghanistan,AFG,Asia,Southern Asia,1974,EFConsPerCap,0.450267558,0.395935085,0.118013496,6.42E-05,0.032217139,0.073080021,1.069577502,,12316000
Afghanistan,AFG,Asia,Southern Asia,1974,EFConsTotGHA,5545314.955,4876177.973,1453406.964,790.7129832,396773.3832,900024.2795,13172488.27,,12316000
Afghanistan,AFG,Asia,Southern Asia,1975,EFConsPerCap,0.468446199,0.411790418,0.113549675,7.53E-05,0.034104688,0.07551974,1.10348605,,12583000
Afghanistan,AFG,Asia,Southern Asia,1975,EFConsTotGHA,5894458.526,5181558.824,1428795.565,947.8646742,429139.292,950264.8905,13885164.96,,12583000
Afghanistan,AFG,Asia,Southern Asia,1976,EFConsPerCap,0.448985086,0.414807032,0.112381298,7.38E-05,0.033711453,0.070579561,1.080538186,,12831000
Afghanistan,AFG,Asia,Southern Asia,1976,EFConsTotGHA,5761107.409,5322555.111,1442009.428,946.3929433,432565.1486,905634.6093,13864818.1,,12831000
Afghanistan,AFG,Asia,Southern Asia,1977,EFConsPerCap,0.404119997,0.425308733,0.111447811,7.28E-05,0.030491576,0.08670394,1.058144884,,13056000
Afghanistan,AFG,Asia,Southern Asia,1977,EFConsTotGHA,5276392.746,5553043.474,1455118.346,950.858372,398113.2581,1132049.993,13815668.68,,13056000
Afghanistan,AFG,Asia,Southern Asia,1978,EFConsPerCap,0.415974611,0.404683362,0.109934555,7.51E-05,0.031298493,0.076688074,1.038654212,,13223000
Afghanistan,AFG,Asia,Southern Asia,1978,EFConsTotGHA,5500224.295,5350925.754,1453609.658,993.2381654,413844.3211,1014008.054,13733605.32,,13223000
Afghanistan,AFG,Asia,Southern Asia,1979,EFConsPerCap,0.425939969,0.392648737,0.109797294,7.19E-05,0.03103212,0.081254565,1.040744571,,13283000
Afghanistan,AFG,Asia,Southern Asia,1979,EFConsTotGHA,5657888.31,5215670.897,1458470.376,954.8776205,412208.9473,1079328.748,13824522.16,,13283000
Afghanistan,AFG,Asia,Southern Asia,1980,EFConsPerCap,0.387249261,0.410223567,0.109697024,8.43E-05,0.029504757,0.067238952,1.003997909,,13211000
Afghanistan,AFG,Asia,Southern Asia,1980,EFConsTotGHA,5116105.039,5419627.788,1449251.31,1114.34552,389799.1637,888320.7229,13264218.37,,13211000
Afghanistan,AFG,Asia,Southern Asia,1981,EFConsPerCap,0.400377156,0.397106396,0.111444832,8.58E-05,0.028398441,0.075035675,1.012448307,,12997000
Afghanistan,AFG,Asia,Southern Asia,1981,EFConsTotGHA,5203662.017,5161152.277,1448437.386,1115.216999,369091.7083,975231.1917,13158689.8,,12997000
Afghanistan,AFG,Asia,Southern Asia,1982,EFConsPerCap,0.386502904,0.410727472,0.112600576,8.76E-05,0.02714166,0.079176789,1.016236983,,12667000
Afghanistan,AFG,Asia,Southern Asia,1982,EFConsTotGHA,4895832.28,5202684.887,1426311.502,1109.398887,343803.4119,1002932.389,12872673.87,,12667000
Afghanistan,AFG,Asia,Southern Asia,1983,EFConsPerCap,0.376323865,0.388928091,0.114612831,0.000102971,0.02608137,0.096724056,1.002773185,,12279000
Afghanistan,AFG,Asia,Southern Asia,1983,EFConsTotGHA,4620918.229,4775686.771,1407342.37,1264.391294,320255.7452,1187684.315,12313151.82,,12279000
